agentNo,string,非必须,,代理商编号,
mobile,string,非必须,,手机号,
agentId,number,非必须,,代理商id,
parentAgentId,number,非必须,,上级代理商id(上级机构、推荐树),
agentHierarchy,number,非必须,,虚拟层级,
agentLevel,number,必须,,代理商等级（1:机构;2:子机构;3:1级代理商;4+代理商累加;）,
currentPage,string,必须,,当前页,
pageSize,string,必须,,页面显示条数,
^RES$,,,,,
pageTotal,number,必须,,总页数,
total,number,必须,,总条数,
page,number,必须,,页码,
rows:rows,object?[],必须,,,item 类型:?object
rows:agentId,number,必须,,代理商id,
rows:agentName,string,必须,,代理商名称,
rows:mobile,string,必须,,电话,
rows:idCard,string,必须,,身份证号,
rows:createTime,string,必须,,加入时间,
rows:invitationCode,string,必须,,邀请码,
rows:parentName,string,必须,,上级代理,
rows:sumAgent,number,必须,,拓展渠道数,
rows:sumSn,number,必须,,总库存终端数,
rows:sumActivation,number,必须,,总激活数,
rows:sumAmount,number,必须,,总交易量,
rows:state,number,必须,,代理商状态（1:正常;10:禁止登录;11:止付;12:注销;）,
rows:agentLevel,string,必须,,代理商等级（1:总机构;2:子机构;3:1级代理商;4+代理商累加;）,
rows:accountState,number,非必须,,冻结状态(1:正常;10:冻结;),
rows:tAgentDeductId,number,非必须,,平台抵扣参数id,
rows:pAgentDeductId,number,非必须,,上级抵扣参数id,
rows:agentHierarchy,number,非必须,,代理商层级,
rows:balance,number,非必须,,钱包余额,
rows:goodsBalance,number,非必须,,货款余额,
