agentId,number,非必须,,代理商id,
policyId,number,非必须,,政策id,
parentId,number,非必须,,父类政策id（默认0）,
currentPage,number,非必须,,当前页,
pageSize,number,非必须,,一页几条,
^RES$,,,,,
pageTotal,number,必须,,总页数,
total,number,必须,,总条数,
page,number,必须,,页码,
rows:rows,object?[],必须,,,item 类型:?object
rows:agentId,number,必须,,代理商id,
rows:agentName,string,必须,,代理商名称,
rows:policyId,number,必须,,政策id,
rows:policyName,string,必须,,政策名称,
rows:txnRate,number,必须,,商户交易费率,
rows:txnFee,number,必须,,商户交易手续费,
rows:agentRate,number,必须,,结算费率,
rows:agentFee,number,必须,,结算手续费,
rows:activationPrice,number,必须,,激活返现金额,
rows:activityPrice,number,必须,,活动返现金额,
rows:vip90Price,number,必须,,vip90返现金额,
rows:vip150Price,number,必须,,vip150返现金额,
rows:growthRate,number,非必须,,成长期结算价,
rows:activatiState,number,非必须,,激活返现强扣状态 1.关闭 10.开启,
rows:activityState,number,非必须,,活动返现强扣状态 1.关闭 10.开启,
rows:activityForce,number,非必须,,活动返现强扣金额,
rows:activatiForce,number,非必须,,激活返现强扣金额,
rows:profitSharState,number,非必须,,分润参数强扣状态:1.关闭 10:开启,
rows:profitSharForce,string,非必须,,分润参数强扣比例,
