agentId,number,非必须,,代理商id,
agentDeductId,number,非必须,,抵扣id,
^RES$,,,,,
agentDeductLogPo:agentDeductLogPo,object,非必须,,生效中的代理商抵扣,备注:?生效中的代理商抵扣
agentDeductLogPo:agentId,number,非必须,,代理商id,
agentDeductLogPo:txnRate,number,非必须,,交易分润抵扣比例,
agentDeductLogPo:activationRate,number,非必须,,激活返现抵扣比例,
agentDeductLogPo:vipRate,number,非必须,,VIP返现抵扣比例,
agentDeductLogPo:activityRate,number,非必须,,活动返现抵扣比例,
agentDeductLogPos:agentDeductLogPos,object,非必须,,修改的代理商抵扣记录,备注:?修改的代理商抵扣记录
agentDeductLogPos:agentDeductLogId,number,非必须,,抵扣记录id,
agentDeductLogPos:agentId,number,非必须,,代理商id,
agentDeductLogPos:deductType,number,非必须,,抵扣类型,
agentDeductLogPos:nowState,number,非必须,,生效状态（1:生效中；2:待生效；3:已失效）,
agentDeductLogPos:txnRate,number,非必须,,交易分润抵扣比例,
agentDeductLogPos:vipRate,string,非必须,,VIP返现抵扣比例,
agentDeductLogPos:activationRate,string,非必须,,激活返现抵扣比例,
agentDeductLogPos:activityRate,string,非必须,,活动返现抵扣比例,
