agentId,number,非必须,,代理商id,
^RES$,,,,,
res:res,object,非必须,,,
res:agentId,number,非必须,,代理商id,
res:agentName,string,非必须,,代理商名称（营业执照名称）,
res:registrationNumber,string,非必须,,注册号,
res:legalPersonName,string,非必须,,法人姓名,
res:legalPersonCard,string,非必须,,法人身份证,
res:toPublicName,string,非必须,,对公账户户名,
res:bankName,string,非必须,,开户行,
res:account,string,非必须,,开户账号,
res:paybankNo,string,非必须,,支行联行号,
res:isPublicAcc,string,非必须,,账户属性（0：对私，1：对公）,
res:parentFiliale,string,非必须,,所属分公司,
res:cityCode,number,非必须,,城市编码,
res:instName,string,非必须,,支行联行号名称,
